SNR;PLZ;ORT;STRASSE;PAP;LVP;HM;Bio;Amt
2762;16775;Gransee;Am Gewerbepark;52;21;81;103;Amt Gransee und Gemeinden
2722;16775;Gransee;Am Grünen Weg;52;21;81;103;Amt Gransee und Gemeinden
2763;16775;Gransee;Am Güterbahnhof;52;21;81;103;Amt Gransee und Gemeinden
14279;16775;Gransee;Am Stadtwald;52;21;81;103;Amt Gransee und Gemeinden
2728;16775;Gransee;Am Südhang;52;21;81;103;Amt Gransee und Gemeinden
2730;16775;Gransee;An der Holländer Mühle;52;21;81;103;Amt Gransee und Gemeinden
2723;16775;Gransee;Bahnhofstraße;52;21;81;103;Amt Gransee und Gemeinden
2724;16775;Gransee;Baustraße;52;21;81;103;Amt Gransee und Gemeinden
2725;16775;Gransee;Berliner Straße;52;21;81;103;Amt Gransee und Gemeinden
2726;16775;Gransee;Fischerstraße;52;21;81;103;Amt Gransee und Gemeinden
2727;16775;Gransee;Gartenweg;52;21;81;103;Amt Gransee und Gemeinden
2729;16775;Gransee;Grünstraße;52;21;81;103;Amt Gransee und Gemeinden
2731;16775;Gransee;Heilige-Geist-Straße;52;21;81;103;Amt Gransee und Gemeinden
2732;16775;Gransee;Hirtenstraße;52;21;81;103;Amt Gransee und Gemeinden
2733;16775;Gransee;Holländer Weg;52;21;81;103;Amt Gransee und Gemeinden
2734;16775;Gransee;Hospitalstraße;52;21;81;103;Amt Gransee und Gemeinden
2735;16775;Gransee;Kirchgasse;52;21;81;103;Amt Gransee und Gemeinden
2736;16775;Gransee;Kirchplatz;52;21;81;103;Amt Gransee und Gemeinden
2737;16775;Gransee;Kirschenallee;52;21;81;103;Amt Gransee und Gemeinden
3153;16775;Gransee;Klosterplatz;52;21;81;103;Amt Gransee und Gemeinden
2738;16775;Gransee;Klosterstraße;52;21;81;103;Amt Gransee und Gemeinden
2739;16775;Gransee;Koliner Straße;52;21;81;103;Amt Gransee und Gemeinden
2740;16775;Gransee;Kraatzer Weg;52;21;81;103;Amt Gransee und Gemeinden
2741;16775;Gransee;Kreuzstraße;52;21;81;103;Amt Gransee und Gemeinden
2742;16775;Gransee;Mauerstraße;52;21;81;103;Amt Gransee und Gemeinden
3152;16775;Gransee;Menzer Weg;52;21;81;103;Amt Gransee und Gemeinden
2743;16775;Gransee;Meseberger Weg;52;21;81;103;Amt Gransee und Gemeinden
2744;16775;Gransee;Mühlenstraße;52;21;81;103;Amt Gransee und Gemeinden
2745;16775;Gransee;Nagelstraße;52;21;81;103;Amt Gransee und Gemeinden
2746;16775;Gransee;Oranienburger Straße;52;21;81;103;Amt Gransee und Gemeinden
2747;16775;Gransee;Pappelweg;52;21;81;103;Amt Gransee und Gemeinden
2748;16775;Gransee;Rosenstraße;52;21;81;103;Amt Gransee und Gemeinden
2749;16775;Gransee;Rudolf-Breitscheid-Straße;52;21;81;103;Amt Gransee und Gemeinden
2750;16775;Gransee;Ruppiner Straße;52;21;81;103;Amt Gransee und Gemeinden
2751;16775;Gransee;Schinkelplatz;52;21;81;103;Amt Gransee und Gemeinden
2752;16775;Gransee;Schulstraße;52;21;81;103;Amt Gransee und Gemeinden
2753;16775;Gransee;Seeweg;52;21;81;103;Amt Gransee und Gemeinden
2754;16775;Gransee;Straße der Jugend;52;21;81;103;Amt Gransee und Gemeinden
2755;16775;Gransee;Straße des Friedens;52;21;81;103;Amt Gransee und Gemeinden
2756;16775;Gransee;Strelitzer Straße;52;21;81;103;Amt Gransee und Gemeinden
2757;16775;Gransee;Templiner Straße;52;21;81;103;Amt Gransee und Gemeinden
2758;16775;Gransee;Vogelsangstraße;52;21;81;103;Amt Gransee und Gemeinden
2759;16775;Gransee;Waldsiedlung;52;21;81;103;Amt Gransee und Gemeinden
2760;16775;Gransee;Waldstraße;52;21;81;103;Amt Gransee und Gemeinden
2761;16775;Gransee;Wartestraße;52;21;81;103;Amt Gransee und Gemeinden
14073;16775;Gransee;Wendefelder Weg;52;22;81;103;Amt Gransee und Gemeinden
2645;16775;Gransee OT Altlüdersdorf;Alte Dorfstraße;45;22;93;255;Amt Gransee und Gemeinden
2643;16775;Gransee OT Altlüdersdorf;Ausbau;45;22;93;255;Amt Gransee und Gemeinden
2644;16775;Gransee OT Altlüdersdorf;B 96;45;22;93;255;Amt Gransee und Gemeinden
2646;16775;Gransee OT Altlüdersdorf;Gasse;45;22;93;255;Amt Gransee und Gemeinden
2647;16775;Gransee OT Altlüdersdorf;Ribbecker Weg;45;22;93;255;Amt Gransee und Gemeinden
2633;16775;Gransee OT Buberow;Am Rundling;53;21;81;255;Amt Gransee und Gemeinden
2634;16775;Gransee OT Buberow;Margaretenweg;53;21;81;255;Amt Gransee und Gemeinden
2636;16775;Gransee OT Buberow;Neue Straße;53;21;81;255;Amt Gransee und Gemeinden
2632;16775;Gransee OT Buberow;Zum Welsengraben;53;21;81;255;Amt Gransee und Gemeinden
2635;16775;Gransee OT Buberow;Zur Mühle;53;21;81;255;Amt Gransee und Gemeinden
2578;16775;Gransee OT Dannenwalde;Bahnhofsweg;41;22;92;255;Amt Gransee und Gemeinden
2579;16775;Gransee OT Dannenwalde;Blumenower Straße;41;22;92;255;Amt Gransee und Gemeinden
9189;16775;Gransee OT Dannenwalde;Fürstenberger Straße;41;22;92;255;Amt Gransee und Gemeinden
2582;16775;Gransee OT Dannenwalde;Kreuzdamm;41;22;92;255;Amt Gransee und Gemeinden
2583;16775;Gransee OT Dannenwalde;Lärchenweg;41;22;92;255;Amt Gransee und Gemeinden
2581;16775;Gransee OT Dannenwalde;Lindenallee;41;22;92;255;Amt Gransee und Gemeinden
2584;16775;Gransee OT Dannenwalde;Pozerner Weg;41;22;92;255;Amt Gransee und Gemeinden
2514;16775;Gransee OT Dannenwalde;Waldhofsweg;41;22;92;255;Amt Gransee und Gemeinden
2585;16775;Gransee OT Dannenwalde;Zum Wentowsee;41;22;92;255;Amt Gransee und Gemeinden
2580;16775;Gransee OT Gramzow;Buchholzer Straße;41;23;91;255;Amt Gransee und Gemeinden
2587;16775;Gransee OT Gramzow;Kreuzkrug;41;23;91;255;Amt Gransee und Gemeinden
2586;16775;Gransee OT Gramzow;Verlängerte Fürstenberger Straße;41;23;91;255;Amt Gransee und Gemeinden
2638;16775;Gransee OT Kraatz;Bergsdorfer Weg;53;21;81;255;Amt Gransee und Gemeinden
2639;16775;Gransee OT Kraatz;Buberower Weg;53;21;81;255;Amt Gransee und Gemeinden
2641;16775;Gransee OT Kraatz;Häsener Weg;53;21;81;255;Amt Gransee und Gemeinden
2640;16775;Gransee OT Kraatz;Lindenstraße;53;21;81;255;Amt Gransee und Gemeinden
2642;16775;Gransee OT Kraatz;Weg zur Siedlung;53;21;81;255;Amt Gransee und Gemeinden
2661;16775;Gransee OT Margaretenhof;Margaretenhof;52;21;81;255;Amt Gransee und Gemeinden
9126;16775;Gransee OT Meseberg;Großmutzer Weg;53;11;95;255;Amt Gransee und Gemeinden
9127;16775;Gransee OT Meseberg;Lindower Weg;53;11;95;255;Amt Gransee und Gemeinden
2675;16775;Gransee OT Meseberg;Meseberger Dorfstraße;53;11;95;255;Amt Gransee und Gemeinden
9120;16775;Gransee OT Meseberg;Sommerweg;53;11;95;255;Amt Gransee und Gemeinden
9128;16775;Gransee OT Meseberg;Wiesenweg;53;11;95;255;Amt Gransee und Gemeinden
9177;16775;Gransee OT Meseberg;Zum Dölchsee;53;11;95;255;Amt Gransee und Gemeinden
