Datum;PPK;LVP;HM;BIO
02.01.2021;75;15;85;105
04.01.2021;41;21;91;111
05.01.2021;42;22;92;112
06.01.2021;43;23;93;113
07.01.2021;44;24;94;114
08.01.2021;45;25;95;115
11.01.2021;51;11;81;101
12.01.2021;52;12;82;102
13.01.2021;53;13;83;103
14.01.2021;54;14;84;104
15.01.2021;55;15;85;105
18.01.2021;61;21;91;111
19.01.2021;62;22;92;112
20.01.2021;63;23;93;113
21.01.2021;64;24;94;114
22.01.2021;65;25;95;115
25.01.2021;71;11;81;101
26.01.2021;72;12;82;102
27.01.2021;73;13;83;103
28.01.2021;74;14;84;104
29.01.2021;75;15;85;105
01.02.2021;41;21;91;111
02.02.2021;42;22;92;112
03.02.2021;43;23;93;113
04.02.2021;44;24;94;114
05.02.2021;45;25;95;115
08.02.2021;51;11;81;101
09.02.2021;52;12;82;102
10.02.2021;53;13;83;103
11.02.2021;54;14;84;104
12.02.2021;55;15;85;105
15.02.2021;61;21;91;111
16.02.2021;62;22;92;112
17.02.2021;63;23;93;113
18.02.2021;64;24;94;114
19.02.2021;65;25;95;115
22.02.2021;71;11;81;101
23.02.2021;72;12;82;102
24.02.2021;73;13;83;103
25.02.2021;74;14;84;104
26.02.2021;75;15;85;105
01.03.2021;41;21;91;111
02.03.2021;42;22;92;112
03.03.2021;43;23;93;113
04.03.2021;44;24;94;114
05.03.2021;45;25;95;115
08.03.2021;51;11;81;101
09.03.2021;52;12;82;102
10.03.2021;53;13;83;103
11.03.2021;54;14;84;104
12.03.2021;55;15;85;105
15.03.2021;61;21;91;111
16.03.2021;62;22;92;112
17.03.2021;63;23;93;113
18.03.2021;64;24;94;114
19.03.2021;65;25;95;115
22.03.2021;71;11;81;101
23.03.2021;72;12;82;102
24.03.2021;73;13;83;103
25.03.2021;74;14;84;104
26.03.2021;75;15;85;105
29.03.2021;41;21;91;111
30.03.2021;42;22;92;112
31.03.2021;43;23;93;113
01.04.2021;44;24;94;114
03.04.2021;45;25;95;115
06.04.2021;51;11;81;101
07.04.2021;52;12;82;102
08.04.2021;53;13;83;103
09.04.2021;54;14;84;104
10.04.2021;55;15;85;105
12.04.2021;61;21;91;111
13.04.2021;62;22;92;112
14.04.2021;63;23;93;113
15.04.2021;64;24;94;114
16.04.2021;65;25;95;115
19.04.2021;71;11;81;101
20.04.2021;72;12;82;102
21.04.2021;73;13;83;103
22.04.2021;74;14;84;104
23.04.2021;75;15;85;105
26.04.2021;41;21;91;111
27.04.2021;42;22;92;112
28.04.2021;43;23;93;113
29.04.2021;44;24;94;114
30.04.2021;45;25;95;115
03.05.2021;51;11;81;101
04.05.2021;52;12;82;102
05.05.2021;53;13;83;103
06.05.2021;54;14;84;104
07.05.2021;55;15;85;105
10.05.2021;61;21;91;111
11.05.2021;62;22;92;112
12.05.2021;63;23;93;113
14.05.2021;64;24;94;114
15.05.2021;65;25;95;115
17.05.2021;71;11;81;101
18.05.2021;72;12;82;102
19.05.2021;73;13;83;103
20.05.2021;74;14;84;104
21.05.2021;75;15;85;105
25.05.2021;41;21;91;111
26.05.2021;42;22;92;112
27.05.2021;43;23;93;113
28.05.2021;44;24;94;114
29.05.2021;45;25;95;115
31.05.2021;51;11;81;101
01.06.2021;52;12;82;102
02.06.2021;53;13;83;103
03.06.2021;54;14;84;104
04.06.2021;55;15;85;105
07.06.2021;61;21;91;111
08.06.2021;62;22;92;112
09.06.2021;63;23;93;113
10.06.2021;64;24;94;114
11.06.2021;65;25;95;115
14.06.2021;71;11;81;101
15.06.2021;72;12;82;102
16.06.2021;73;13;83;103
17.06.2021;74;14;84;104
18.06.2021;75;15;85;105
21.06.2021;41;21;91;111
22.06.2021;42;22;92;112
23.06.2021;43;23;93;113
24.06.2021;44;24;94;114
25.06.2021;45;25;95;115
28.06.2021;51;11;81;101
29.06.2021;52;12;82;102
30.06.2021;53;13;83;103
01.07.2021;54;14;84;104
02.07.2021;55;15;85;105
05.07.2021;61;21;91;111
06.07.2021;62;22;92;112
07.07.2021;63;23;93;113
08.07.2021;64;24;94;114
09.07.2021;65;25;95;115
12.07.2021;71;11;81;101
13.07.2021;72;12;82;102
14.07.2021;73;13;83;103
15.07.2021;74;14;84;104
16.07.2021;75;15;85;105
19.07.2021;41;21;91;111
20.07.2021;42;22;92;112
21.07.2021;43;23;93;113
22.07.2021;44;24;94;114
23.07.2021;45;25;95;115
26.07.2021;51;11;81;101
27.07.2021;52;12;82;102
28.07.2021;53;13;83;103
29.07.2021;54;14;84;104
30.07.2021;55;15;85;105
02.08.2021;61;21;91;111
03.08.2021;62;22;92;112
04.08.2021;63;23;93;113
05.08.2021;64;24;94;114
06.08.2021;65;25;95;115
09.08.2021;71;11;81;101
